id,transaction_hash,from_address,to_address,amount,dex,function_called,block_number,timestamp
9637,0x4869689ebc7354f7f498a76707c13b2cba77fac908cc271ca44229ba437bde72,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xa125F4e287862cFA5ED0690c8868c0FDC4B1FfA7,34650.77282459593,"Trader Joe","Swap AVAX For Arena",52837009,2024-11-09T03:58:40.000Z
9636,0x82ebfee4fcab0144fa4328cb0254c5c4f907a2969d8411b428f109272463e9a7,0x75c854F11A15423a8B23bd4454CB2Fe3FF6C8dde,0x015B96160687614E76BF038d507DFf2e683C2AC4,121500,"Trader Joe","Swap ARENA For Tokens",52836863,2024-11-09T03:53:43.000Z
9635,0xb5c66261058c9131b320c16868533af603ec3d24163b68bf2b4f385a57bbe9ee,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0xa125F4e287862cFA5ED0690c8868c0FDC4B1FfA7,1523.2894930202383,"Trader Joe","Swap Tokens For ARENA",52836818,2024-11-09T03:52:12.000Z
9634,0x1f9f1e100264a9679fe6904fa122798770aa141b12dca1c6a090b6f1d02e3139,0x518c3cAfaC895bFe7D8B66918F5242bC97882bBC,0x015B96160687614E76BF038d507DFf2e683C2AC4,100000,"Trader Joe","Swap Arena for AVAX",52836790,2024-11-09T03:51:16.000Z
9633,0xebbb331d37506c8aad4fc975c13806c30fb33d167d22f984211beb8ae3192028,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0x4Bb76616515d8936E4f4F9bA157fB5F7fBd015DA,10026.528453252646,"Trader Joe","Swap AVAX For Arena",52836704,2024-11-09T03:48:19.000Z
9632,0xbf60887c4767669b0891e7062882473747a193b3205b012e704df5a97b29f939,0x518c3cAfaC895bFe7D8B66918F5242bC97882bBC,0x015B96160687614E76BF038d507DFf2e683C2AC4,30000,"Trader Joe","Swap Arena for AVAX",52836483,2024-11-09T03:40:50.000Z
9631,0x0c87db41e8346637edfb688b89010b498f14eb8789a79f1acf6f74a747f263e7,0x518c3cAfaC895bFe7D8B66918F5242bC97882bBC,0xc010A798F9eED73395A9C72520298ba33a48a2B7,30000,"Trader Joe","Swap Arena for AVAX",52836455,2024-11-09T03:39:50.000Z
9630,0x14637b48cdcc467b3cf111b1ea11cc96105b01671dfe60ca2493055597b1db04,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x18556DA13313f3532c54711497A8FedAC273220E,1655.1343805129898,"Trader Joe","Remove Liquidity",52836393,2024-11-09T03:37:41.000Z
9629,0xd7f2553e51c570d412c12f2e6b7433af29039d363bedb1860683312845f91d2d,0xF3417bf948712b3103CAba1855eC024AB85178f6,0x015B96160687614E76BF038d507DFf2e683C2AC4,1242,"Trader Joe","Swap ARENA For Tokens",52836322,2024-11-09T03:35:16.000Z
9628,0x025c482f7b234b04cb97c14d91dcd1705ad6a4582db28fb2166f07ff58aa2c38,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x18556DA13313f3532c54711497A8FedAC273220E,95476.79787338137,"Trader Joe","Remove Liquidity",52836138,2024-11-09T03:28:59.000Z
